"sex","age","Recency","Frequency","Monetary","Churn"
"M",19,22,15,774577,"No"
"M",27,14,16,534569,"No"
"M",23,10,21,1192920,"No"
"M",18,23,31,400255,"No"
"F",33,8,35,1131665,"No"
"M",31,24,32,356623,"No"
"M",17,21,30,345833,"No"
"F",17,15,10,1124282,"No"
"M",37,23,50,1469657,"No"
"F",13,15,42,415142,"No"
"M",28,9,16,1956730,"No"
"F",25,8,41,1576583,"No"
"F",38,18,32,1597435,"No"
"M",16,15,15,496909,"No"
"F",11,7,17,272415,"No"
"F",32,1,14,199849,"No"
"M",26,22,23,684354,"No"
"M",12,21,9,1411834,"No"
"M",12,2,16,1786713,"No"
"M",24,4,15,345868,"No"
"M",21,23,10,146310,"No"
"M",30,15,30,493093,"No"
"M",27,11,6,1140608,"No"
"M",12,24,40,182075,"No"
"M",30,16,47,929208,"No"
"M",13,4,29,1294723,"No"
"M",28,23,45,817392,"No"
"M",17,2,13,553140,"No"
"M",19,17,25,1793523,"No"
"F",39,23,48,521077,"No"
"F",28,9,49,1685268,"No"
"F",20,7,27,988426,"No"
"M",10,4,7,230236,"No"
"M",13,16,17,749365,"No"
"M",39,4,34,353002,"No"
"M",28,17,43,419814,"No"
"F",27,10,19,475485,"No"
"M",23,21,15,1303101,"No"
"M",16,20,29,644163,"No"
"M",19,16,39,543929,"No"
"F",25,10,33,1783298,"No"
"F",40,14,16,145428,"No"
"F",25,6,18,1480457,"No"
"F",34,1,50,1799763,"No"
"F",25,11,19,1309972,"No"
"M",16,2,24,1955619,"No"
"F",30,8,18,1728280,"No"
"M",40,20,18,1870495,"No"
"F",30,16,11,358872,"No"
"F",30,22,28,1731320,"No"
"F",16,3,43,1145626,"No"
"F",39,1,49,963916,"No"
"M",34,19,41,1643663,"No"
"M",26,6,41,943482,"No"
"F",34,18,19,781848,"No"
"F",33,11,47,1311397,"No"
"M",14,3,26,1940451,"No"
"M",16,19,38,919569,"No"
"M",33,8,26,1080011,"No"
"M",33,8,25,1771666,"No"
"M",32,12,24,1630660,"No"
"F",21,24,46,113224,"No"
"M",17,5,19,1417187,"No"
"M",33,3,50,656350,"No"
"F",10,1,25,263216,"No"
"F",37,7,16,1591674,"No"
"M",25,7,44,1453218,"No"
"M",23,20,16,1173598,"No"
"M",31,5,11,1392453,"No"
"M",32,6,11,1324685,"No"
"M",26,2,37,1081887,"No"
"M",11,18,17,1742303,"No"
"M",25,8,9,1179417,"No"
"M",36,10,32,1169012,"No"
"M",38,20,36,1202939,"No"
"F",27,13,6,741203,"No"
"M",34,21,15,1163434,"No"
"M",10,12,22,339384,"No"
"M",13,12,6,1465353,"No"
"M",10,15,27,90560,"No"
"M",14,19,27,1114189,"No"
"M",21,7,5,221809,"No"
"M",20,3,42,1658842,"No"
"F",25,23,7,1307703,"No"
"M",32,2,26,1954606,"No"
"M",30,15,20,1622078,"No"
"M",31,4,5,463328,"No"
"M",21,19,29,1294176,"No"
"M",17,21,33,414398,"No"
"M",11,2,11,1755469,"No"
"M",38,23,13,846000,"No"
"M",33,4,43,1423013,"No"
"M",23,7,43,247005,"No"
"M",25,9,32,1467251,"No"
"M",21,22,43,1360067,"No"
"M",29,9,39,576825,"No"
"M",21,5,25,1168656,"No"
"F",13,17,15,511775,"No"
"M",40,10,43,1200478,"No"
"M",29,18,30,933331,"No"
"F",27,10,33,1193003,"No"
"M",32,22,27,1237148,"No"
"M",14,14,40,441132,"No"
"M",21,7,28,1133214,"No"
"M",37,15,50,381449,"No"
"F",15,1,30,899384,"No"
"M",38,6,24,1712817,"No"
"F",26,2,27,1774647,"No"
"M",17,16,33,1000061,"No"
"F",19,7,8,168345,"No"
"M",38,24,29,1281198,"No"
"M",20,6,41,1097512,"No"
"F",29,16,28,938213,"No"
"M",31,17,45,1767868,"No"
"F",21,24,46,820492,"No"
"M",16,13,19,1912297,"No"
"F",29,17,46,1940050,"No"
"F",40,14,50,1609397,"No"
"F",15,19,17,72883,"No"
"M",30,17,42,1706715,"No"
"M",28,6,10,1774737,"No"
"M",28,12,30,499066,"No"
"M",15,20,45,1970854,"No"
"M",19,12,25,1367912,"No"
"F",12,16,10,956471,"No"
"M",27,7,34,1949188,"No"
"M",20,7,23,356148,"No"
"M",16,1,5,1867799,"No"
"M",29,2,35,1204511,"No"
"M",10,7,43,767370,"No"
"M",37,12,7,1049524,"No"
"F",37,14,37,932316,"No"
"M",35,8,19,1390471,"No"
"M",27,9,15,1862369,"No"
"F",28,4,47,532140,"No"
"M",12,3,40,422724,"No"
"M",34,8,23,1063873,"No"
"M",35,11,21,283933,"No"
"F",34,20,13,328078,"No"
"M",24,6,27,1606272,"No"
"F",32,13,41,891980,"No"
"F",10,18,41,1610283,"No"
"M",29,19,48,535605,"No"
"M",33,17,13,1204894,"No"
"F",36,10,49,1180731,"No"
"M",34,16,38,1111226,"No"
"M",31,3,25,995366,"No"
"M",30,23,14,1084180,"No"
"M",27,1,45,844439,"No"
"M",14,13,20,909121,"No"
"M",11,14,10,1183569,"No"
"M",34,18,7,505156,"No"
"M",28,19,38,216211,"No"
"M",24,24,11,657904,"No"
"M",18,21,32,1372594,"No"
"M",13,20,5,1079325,"No"
"M",20,16,43,497547,"No"
"M",30,22,30,1473256,"No"
"M",29,10,14,374182,"No"
"M",28,4,18,1164420,"No"
"F",17,16,27,1628424,"No"
"F",22,23,39,1416964,"No"
"M",19,23,7,771692,"No"
"M",22,13,49,434712,"No"
"M",13,2,33,1270606,"No"
"M",21,15,33,1175684,"No"
"M",30,21,49,1255271,"No"
"M",11,24,39,1319841,"No"
"M",28,13,8,788315,"No"
"M",34,13,25,598912,"No"
"M",14,18,34,699229,"No"
"F",13,18,33,700316,"No"
"M",19,16,28,1113171,"No"
"M",27,1,13,1647341,"No"
"M",12,2,40,458555,"No"
"M",19,6,9,1506246,"No"
"M",31,24,16,174659,"No"
"M",14,7,36,1823483,"No"
"M",35,3,36,1039149,"No"
"M",14,5,42,566369,"No"
"M",30,16,5,368750,"No"
"M",15,17,12,486388,"No"
"M",33,6,50,445644,"No"
"M",16,8,50,1605386,"No"
"F",31,7,39,1838885,"No"
"M",34,6,24,1271543,"No"
"M",14,10,13,1879351,"No"
"M",28,9,28,832602,"No"
"M",11,22,34,1131579,"No"
"M",18,10,25,298162,"No"
"M",27,12,42,660074,"No"
"F",39,8,9,362137,"No"
"M",22,15,32,1049737,"No"
"M",25,22,9,542117,"No"
"M",21,23,48,1674838,"No"
"F",28,12,50,1997808,"No"
"M",14,1,15,283069,"No"
"M",23,8,10,1359186,"No"
"M",33,3,7,180874,"No"
"M",30,16,50,1804454,"No"
"M",19,4,30,505280,"No"
"M",28,13,6,1538930,"No"
"M",16,5,42,1050266,"No"
"M",34,24,41,836109,"No"
"M",28,2,24,818624,"No"
"F",29,17,40,805484,"No"
"M",38,10,40,1076593,"No"
"M",18,4,19,1144374,"No"
"F",14,19,8,473398,"No"
"M",17,20,16,1406091,"No"
"M",29,22,10,741468,"No"
"M",34,3,41,1745238,"No"
"F",21,5,17,1817215,"No"
"M",10,4,47,920375,"No"
"F",34,11,39,438022,"No"
"M",38,14,41,885148,"No"
"F",21,22,22,447262,"No"
"M",11,9,49,107182,"No"
"F",13,15,40,1055985,"No"
"M",14,18,44,805137,"No"
"M",22,4,22,1346571,"No"
"M",34,2,20,1210265,"No"
"M",34,11,38,1677917,"No"
"M",25,8,26,498771,"No"
"F",35,5,38,339922,"No"
"M",10,9,12,1457083,"No"
"M",15,1,23,760290,"No"
"M",20,1,15,756739,"No"
"M",30,7,15,833601,"No"
"M",29,3,27,93519,"No"
"M",14,20,24,1356591,"No"
"F",16,2,47,1378213,"No"
"F",16,9,5,633220,"No"
"M",28,12,5,594334,"No"
"M",40,23,11,1049607,"No"
"M",17,12,20,1240890,"No"
"M",15,24,47,346263,"No"
"M",26,15,28,588728,"No"
"M",11,6,6,1645582,"No"
"M",30,14,10,870481,"No"
"M",32,22,29,1893618,"No"
"M",35,6,34,901803,"No"
"F",36,15,16,633246,"No"
"M",14,24,36,1228315,"No"
"M",35,5,34,1607731,"No"
"F",33,14,13,1213214,"No"
"F",40,17,25,97541,"No"
"F",40,12,43,1745944,"No"
"F",25,8,32,260811,"No"
"M",12,15,34,865885,"No"
"F",39,8,8,165849,"No"
"M",30,16,9,1449964,"No"
"F",30,11,28,508330,"No"
"M",32,8,12,128000,"No"
"F",19,20,33,1814759,"No"
"M",40,4,41,616112,"No"
"F",34,3,44,658683,"No"
"F",33,4,23,889367,"No"
"M",17,14,27,1529658,"No"
"M",15,7,17,741222,"No"
"M",30,1,32,742040,"No"
"M",24,7,19,1828971,"No"
"M",10,23,40,938826,"No"
"M",18,16,47,249777,"No"
"F",22,17,15,1147347,"No"
"F",11,23,46,1256194,"No"
"F",36,22,45,1064299,"No"
"M",12,18,25,694867,"No"
"M",10,14,18,605401,"No"
"M",30,15,7,424495,"No"
"M",17,3,47,1256994,"No"
"F",20,21,48,198989,"No"
"F",29,23,27,1255413,"No"
"M",30,12,37,1406811,"No"
"M",33,13,27,1403124,"No"
"M",23,6,13,227565,"No"
"M",39,2,25,969554,"No"
"M",20,12,18,1522027,"No"
"F",37,20,34,510836,"No"
"M",36,13,49,1788615,"No"
"F",32,14,22,610127,"No"
"M",15,8,46,175914,"No"
"M",27,7,10,1473706,"No"
"F",36,20,39,1146250,"No"
"M",12,20,35,1225624,"No"
"M",18,5,39,1574273,"No"
"M",29,24,21,1778438,"No"
"F",10,6,37,56141,"No"
"M",21,14,50,1669550,"No"
"M",29,21,46,120041,"No"
"M",30,1,23,1450563,"No"
"F",40,13,33,957257,"No"
"M",28,3,27,705407,"No"
"M",21,11,17,1025013,"No"
"M",29,4,23,219946,"No"
"M",23,1,18,989113,"No"
"M",18,8,44,164357,"No"
"M",28,16,40,1987408,"No"
"M",35,12,28,751173,"No"
"M",35,18,38,1334835,"No"
"M",31,19,21,261451,"No"
"M",32,3,11,662117,"No"
"M",34,8,48,1262545,"No"
"M",20,3,48,395713,"No"
"M",27,17,8,848868,"No"
"F",28,3,7,457254,"No"
"M",19,24,17,783883,"No"
"F",13,24,50,1628644,"No"
"M",32,12,40,533254,"No"
"F",36,12,43,81302,"No"
"M",18,10,34,1036517,"No"
"M",36,18,11,1444068,"No"
"F",37,18,11,1692877,"No"
"F",13,1,8,725651,"No"
"M",13,15,50,1653731,"No"
"M",20,7,8,391993,"No"
"M",38,13,44,1032169,"No"
"F",31,18,27,1137569,"No"
"F",39,5,45,430163,"No"
"M",26,15,43,1124558,"No"
"M",11,21,28,352546,"No"
"F",25,23,34,1900952,"No"
"F",22,18,29,1919599,"No"
"M",27,22,19,1469542,"No"
"M",29,15,34,305197,"No"
"M",17,18,8,357323,"No"
"M",18,8,23,1986996,"No"
"M",15,19,17,1567149,"No"
"M",26,11,8,59561,"No"
"M",34,5,32,213738,"No"
"F",23,10,5,864147,"No"
"M",38,1,19,1020271,"No"
"F",14,15,13,1701573,"No"
"M",24,7,32,1680372,"No"
"M",10,21,39,812221,"No"
"M",14,22,27,460467,"No"
"F",18,17,18,456083,"No"
"F",26,11,42,1767493,"No"
"M",11,7,44,716125,"No"
"F",11,9,13,911674,"No"
"F",33,22,48,1730777,"No"
"M",20,13,17,943173,"No"
"M",24,5,22,641120,"No"
"M",12,20,11,1446286,"No"
"M",19,21,49,1898391,"No"
"M",34,5,31,1495350,"No"
"M",17,19,23,624046,"No"
"F",36,13,18,122035,"No"
"F",29,2,47,331146,"No"
"M",16,7,12,904045,"No"
"M",15,24,23,1676707,"No"
"M",24,14,7,250081,"No"
"M",40,22,25,1243440,"No"
"M",27,21,23,1834119,"No"
"M",28,16,47,1331793,"No"
"M",38,14,24,1657521,"No"
"F",11,19,7,405235,"No"
"F",22,14,37,1187751,"No"
"F",20,5,19,375335,"No"
"M",28,8,40,1969760,"No"
"M",31,13,25,1136744,"No"
"M",15,18,14,1961668,"No"
"M",23,11,30,1353867,"No"
"M",13,4,35,840203,"No"
"M",40,14,10,523936,"No"
"F",16,1,11,1648432,"No"
"M",22,1,47,605843,"No"
"M",36,20,43,829615,"No"
"M",30,12,30,1956634,"No"
"M",25,15,10,1131863,"No"
"F",22,4,31,1597552,"No"
"F",14,15,16,126023,"No"
"F",22,5,49,605736,"No"
"M",12,23,39,65040,"No"
"M",14,24,46,826170,"No"
"M",23,15,20,485252,"No"
"M",10,10,7,1347862,"No"
"M",31,19,12,1457854,"No"
"M",18,6,44,1022351,"No"
"M",16,14,38,1497947,"No"
"M",18,19,27,766300,"No"
"F",19,9,7,1343407,"No"
"F",10,20,23,186092,"No"
"F",21,2,35,1989920,"No"
"M",19,6,44,1028007,"No"
"M",30,8,8,1110332,"No"
"F",18,19,9,1406971,"No"
"M",37,9,7,995992,"No"
"M",35,2,15,553809,"No"
"M",10,24,15,587399,"No"
"F",25,21,7,1687062,"No"
"M",16,13,21,1942234,"No"
"M",11,21,19,155444,"No"
"M",32,17,10,1206671,"No"
"F",15,24,40,409749,"No"
"F",38,5,32,1722153,"No"
"F",11,4,30,1064192,"No"
"M",30,1,38,850104,"No"
"M",36,9,27,1007453,"No"
"M",39,24,47,1718460,"No"
"F",16,23,38,246330,"No"
"F",31,23,11,1633014,"No"
"M",20,1,22,1932295,"No"
"M",33,24,49,1178540,"No"
"M",29,19,24,1935320,"No"
"M",23,19,50,1442614,"No"
"F",18,7,15,1357091,"No"
"M",14,9,21,1978711,"No"
"M",26,14,23,1569686,"No"
"F",31,24,48,797454,"No"
"M",16,14,8,1507134,"No"
"F",13,5,38,1980661,"No"
"F",34,6,31,1557307,"No"
"M",27,2,42,80248,"No"
"M",20,18,34,307369,"No"
"M",39,6,6,250998,"No"
"M",26,23,26,775097,"No"
"M",11,19,15,884270,"No"
"M",12,8,15,1238448,"No"
"F",21,4,12,872880,"No"
"M",11,14,13,1587576,"No"
"M",33,15,49,1600670,"No"
"M",16,8,48,936429,"No"
"M",19,7,45,1568319,"No"
"F",31,15,43,1443336,"No"
"F",30,16,28,1241776,"No"
"M",18,6,12,560826,"No"
"M",10,18,39,1467897,"No"
"M",20,8,42,1088663,"No"
"M",39,21,32,1963906,"No"
"M",15,1,10,1446674,"No"
"F",25,6,24,394739,"No"
"F",20,2,19,1527447,"No"
"F",39,17,18,1801967,"No"
"M",14,4,39,572585,"No"
"M",29,11,19,194834,"No"
"M",32,5,32,1638080,"No"
"M",12,11,32,409105,"No"
"M",12,4,20,963098,"No"
"M",36,20,43,1871217,"No"
"M",31,22,31,980339,"No"
"M",36,8,41,1738720,"No"
"F",22,23,39,611779,"No"
"M",14,6,26,892121,"No"
"M",32,9,48,1570232,"No"
"M",16,20,25,321817,"No"
"M",17,17,18,1682406,"No"
"F",17,3,16,854654,"No"
"M",15,18,34,722972,"No"
"M",31,12,42,536120,"No"
"M",37,7,10,131133,"No"
"M",19,16,37,1990147,"No"
"F",20,14,29,538657,"No"
"M",19,17,38,213069,"No"
"M",34,23,32,685749,"No"
"M",32,3,21,407550,"No"
"M",11,14,5,1509947,"No"
"F",22,17,31,202848,"No"
"M",28,1,41,1535179,"No"
"M",16,10,33,883148,"No"
"M",38,24,41,194746,"No"
"M",21,9,10,395704,"No"
"F",33,10,47,525059,"No"
"F",30,15,7,1480421,"No"
"M",21,1,5,1609596,"No"
"M",31,7,38,391583,"No"
"F",16,21,11,332581,"No"
"M",20,21,25,995255,"No"
"F",27,10,5,1187709,"No"
"M",16,16,37,668129,"No"
"M",38,1,26,1106870,"No"
"M",26,11,13,822613,"No"
"F",35,21,19,841980,"No"
"M",35,24,40,1836292,"No"
"M",14,18,30,1816580,"No"
"M",12,22,43,1475241,"No"
"M",35,19,24,1798085,"No"
"M",39,21,20,880763,"No"
"M",31,21,16,1626530,"No"
"M",11,21,6,470087,"No"
"M",15,4,44,1439168,"No"
"F",25,21,44,1501571,"No"
"M",26,10,31,1323453,"No"
"M",26,8,47,1766085,"No"
"M",21,15,15,390911,"No"
"F",12,9,50,884917,"No"
"M",29,13,5,640751,"No"
"M",20,22,33,476772,"No"
"F",11,14,18,1201179,"No"
"F",28,23,24,639708,"No"
"M",27,9,8,443964,"No"
"M",18,11,12,1547727,"No"
"M",19,2,17,1386862,"No"
"M",37,7,31,1693021,"No"
"M",34,21,31,600820,"No"
"M",18,14,18,950167,"No"
"F",12,20,14,506644,"No"
"M",33,14,24,1054647,"No"
"F",11,23,25,486972,"No"
"F",29,15,11,732676,"No"
"F",20,22,49,994056,"No"
"M",19,24,29,392645,"No"
"F",28,3,37,650233,"No"
"M",22,3,15,178201,"No"
"M",37,15,20,1114611,"No"
"F",34,4,5,552338,"No"
"M",38,24,17,383926,"No"
"M",21,2,13,1578720,"No"
"F",37,7,49,1697422,"No"
"F",38,21,12,1445031,"No"
"F",37,8,29,1639285,"No"
"M",16,11,22,210599,"No"
"M",37,2,29,1512940,"No"
"F",37,13,30,992453,"No"
"M",38,19,27,621005,"No"
"M",15,12,6,1093875,"No"
"M",27,8,47,1409089,"No"
"F",29,17,35,1108197,"No"
"M",38,23,21,1917719,"No"
"M",23,12,30,252337,"No"
"M",13,23,44,1822085,"No"
"M",34,8,22,1074527,"No"
"F",23,7,12,713970,"No"
"M",33,11,49,1913754,"No"
"F",19,15,45,1783128,"No"
"M",30,5,34,134302,"No"
"M",37,7,41,949802,"No"
"F",25,5,37,1870604,"No"
"M",11,15,49,953392,"No"
"M",10,14,40,1964979,"No"
"M",17,7,28,89721,"No"
"M",29,2,13,1639231,"No"
"M",30,20,30,1582388,"No"
"M",18,8,47,1079435,"No"
"M",23,18,26,1956961,"No"
"F",14,14,43,1600795,"No"
"F",30,19,20,1177461,"No"
"F",17,21,37,1058655,"No"
"F",15,14,44,782219,"No"
"M",40,2,16,79828,"No"
"M",39,5,8,1929338,"No"
"M",35,10,21,759674,"No"
"M",16,2,50,1497264,"No"
"M",20,15,42,523664,"No"
"F",13,19,19,585559,"No"
"F",28,12,10,686313,"No"
"M",19,9,31,731327,"No"
"M",10,15,16,1950966,"No"
"M",16,22,34,1594838,"No"
"M",32,11,31,1226037,"No"
"M",37,6,5,1874001,"No"
"M",11,3,5,1511705,"No"
"F",19,18,42,298042,"No"
"M",11,9,31,677313,"No"
"F",40,7,27,848207,"No"
"F",37,2,40,537808,"No"
"M",37,18,20,1978805,"No"
"F",36,1,15,803182,"No"
"F",26,16,11,1276051,"No"
"F",29,5,18,1756032,"No"
"M",13,24,49,886429,"No"
"M",18,14,34,1519784,"No"
"F",22,21,38,1160257,"No"
"M",39,4,46,1335297,"No"
"F",24,5,30,401756,"No"
"F",22,3,9,551563,"No"
"M",24,12,10,1973178,"No"
"F",23,7,14,838908,"No"
"M",12,6,46,135731,"No"
"M",25,6,8,1628887,"No"
"M",33,1,49,401980,"No"
"M",15,4,50,484032,"No"
"M",34,3,24,1107548,"No"
"M",29,6,20,1484301,"No"
"M",15,22,36,287838,"No"
"F",32,1,28,1165712,"No"
"M",27,3,48,1189247,"No"
"M",21,8,28,565803,"No"
"M",16,22,14,1580901,"No"
"M",21,9,48,682885,"No"
"F",33,4,50,507979,"No"
"F",23,24,30,71088,"No"
"M",18,13,11,1622639,"No"
"M",35,11,23,295861,"No"
"M",30,10,47,1857631,"No"
"F",39,14,33,982584,"No"
"M",23,6,42,660130,"No"
"M",13,2,44,1079006,"No"
"F",19,8,33,1243315,"No"
"M",28,14,44,1298473,"No"
"M",21,16,34,380477,"No"
"M",10,14,32,1537579,"No"
"M",35,9,49,915060,"No"
"M",33,7,7,1269205,"No"
"M",38,1,33,1462852,"No"
"M",34,14,49,1402625,"No"
"M",19,3,18,1355522,"No"
"F",15,11,26,632582,"No"
"M",31,6,7,1385251,"No"
"M",39,23,49,879833,"No"
"M",40,10,7,715402,"No"
"M",19,9,49,437711,"No"
"F",15,10,35,1848578,"No"
"M",24,13,26,759913,"No"
"F",10,11,44,170041,"No"
"M",29,6,24,196564,"No"
"F",24,15,16,165409,"No"
"F",26,8,19,1186566,"No"
"M",34,12,7,805431,"No"
"F",11,3,46,784232,"No"
"F",35,24,21,1581682,"No"
"M",18,11,38,1444640,"No"
"M",18,7,14,462103,"No"
"M",26,9,25,1120952,"No"
"M",29,12,9,1398559,"No"
"M",29,17,24,459949,"No"
"F",21,3,20,1775360,"No"
"F",38,16,5,1547818,"No"
"F",16,8,43,1142869,"No"
"F",37,7,29,1465485,"No"
"F",17,5,45,1750293,"No"
"M",33,13,22,918262,"No"
"M",35,4,15,180959,"No"
"M",30,15,19,1373112,"No"
"M",24,2,31,1236164,"No"
"M",11,20,29,727876,"No"
"M",24,2,18,1412783,"No"
"M",28,19,9,1383359,"No"
"F",10,6,48,1035297,"No"
"F",14,2,9,1815002,"No"
"M",34,7,12,1339284,"No"
"M",40,15,50,1762142,"No"
"M",39,3,21,1582197,"No"
"F",28,23,48,1743151,"No"
"M",13,7,32,1481775,"No"
"M",19,5,47,1978796,"No"
"M",37,17,39,218076,"No"
"F",23,14,43,466755,"No"
"M",18,13,25,187763,"No"
"M",35,19,30,1225865,"No"
"F",19,14,46,655801,"No"
"M",23,4,20,829468,"No"
"M",28,6,23,810575,"No"
"F",16,8,20,850612,"No"
"F",28,22,7,321993,"No"
"M",19,1,8,1523140,"No"
"F",33,23,36,424908,"No"
"F",27,23,50,367981,"No"
"F",21,14,30,453048,"No"
"M",16,3,25,70027,"No"
"M",22,11,27,618042,"No"
"M",30,20,24,1775315,"No"
"M",10,5,47,1719974,"No"
"F",25,14,41,1140096,"No"
"F",14,14,35,1400711,"No"
"M",39,12,32,1543315,"No"
"M",19,16,27,318360,"No"
"F",13,19,45,1984605,"No"
"M",36,11,35,868742,"No"
"F",37,23,12,368847,"No"
"M",19,12,26,1074234,"No"
"M",17,24,11,205549,"No"
"F",34,8,5,1504558,"No"
"F",29,18,19,1464897,"No"
"M",35,2,7,1611321,"No"
"M",28,6,50,1985706,"No"
"M",31,23,32,1241761,"No"
"M",32,13,30,634913,"No"
"M",36,20,40,1110519,"No"
"M",13,8,33,1070093,"No"
"M",38,12,37,1742885,"No"
"M",24,9,50,538918,"No"
"M",17,6,13,1874055,"No"
"M",18,15,33,1969141,"No"
"F",22,22,8,1978061,"No"
"M",33,6,42,356705,"No"
"M",13,22,37,1984001,"No"
"M",11,24,6,71321,"No"
"F",38,18,44,1517906,"No"
"M",18,9,44,1056255,"No"
"M",22,22,10,1604217,"No"
"M",19,5,41,318414,"No"
"M",32,1,28,169530,"No"
"M",28,24,13,1648766,"No"
"F",12,11,25,460717,"No"
"M",21,23,12,1703389,"No"
"M",21,6,31,1301449,"No"
"M",14,21,14,1589563,"No"
"F",13,11,35,1259208,"No"
"F",25,23,40,1640609,"No"
"F",35,24,39,1465485,"No"
"F",11,12,9,882457,"No"
"M",25,10,33,714476,"No"
"M",27,11,39,721790,"No"
"M",18,14,43,256210,"No"
"M",32,22,50,1417101,"No"
"M",24,9,5,1112041,"No"
"M",14,23,34,1883203,"No"
"M",10,18,7,427357,"No"
"F",29,3,15,1186881,"No"
"M",35,23,41,1307011,"No"
"M",34,4,42,352488,"No"
"F",37,21,24,250788,"No"
"M",14,23,15,792686,"No"
"M",22,1,20,430811,"No"
"M",28,10,14,360801,"No"
"M",35,21,7,223457,"No"
"M",23,14,44,635794,"No"
"M",37,7,17,459430,"No"
"F",27,10,42,140445,"No"
"M",21,6,49,338778,"No"
"M",17,14,41,1020945,"No"
"M",23,10,15,1410799,"No"
"M",11,13,21,686252,"No"
"F",16,2,45,674612,"No"
"M",20,21,44,524928,"No"
"M",37,21,7,392171,"No"
"M",15,14,33,917506,"No"
"M",28,12,13,1127070,"No"
"M",29,6,5,759244,"No"
"F",35,14,10,1321998,"No"
"M",19,24,10,1365564,"No"
"F",25,3,24,1820365,"No"
"F",28,1,7,1873514,"No"
"M",25,14,22,1782636,"No"
"M",39,11,24,1857357,"No"
"M",20,20,37,1682946,"No"
"M",19,17,15,438433,"No"
"M",21,5,25,836846,"No"
"M",30,16,19,1057495,"No"
"M",40,14,18,648795,"No"
"M",17,22,41,59685,"No"
"F",33,13,34,1175576,"No"
"M",35,8,21,1199837,"No"
"M",16,16,19,595413,"No"
"F",23,13,31,1494750,"No"
"F",15,16,14,1530007,"No"
"M",24,24,31,731800,"No"
"M",18,17,18,1569651,"No"
"F",34,11,32,1782623,"No"
"M",25,19,48,1339230,"No"
"F",17,11,30,758542,"No"
"M",36,8,30,1808703,"No"
"M",28,16,8,626690,"No"
"M",29,24,7,1354883,"No"
"M",15,5,20,246506,"No"
"F",29,10,50,698010,"No"
"F",28,7,14,673493,"No"
"M",40,18,17,1951265,"No"
"F",11,8,37,1529475,"No"
"M",18,20,16,1179087,"No"
"M",11,23,49,1816782,"No"
"M",10,2,10,299615,"No"
"M",19,8,40,1437107,"No"
"M",28,20,21,1319713,"No"
"F",13,5,33,1713340,"No"
"F",28,23,23,1899434,"No"
"F",38,15,16,759352,"No"
"M",32,22,28,508879,"No"
"M",18,12,40,146864,"No"
"M",36,12,38,1501885,"No"
"M",15,17,43,1169790,"No"
"M",13,1,29,165236,"No"
"M",16,24,7,220260,"No"
"M",38,8,49,674319,"No"
"M",39,5,19,400867,"No"
"F",17,20,45,601730,"No"
"M",32,14,9,787256,"No"
"F",11,9,15,1654581,"No"
"M",20,12,22,1832114,"No"
"M",17,12,36,1238886,"No"
"F",20,23,45,1326562,"No"
"M",24,3,42,913960,"No"
"F",29,16,20,885165,"No"
"M",23,5,35,922995,"No"
"M",40,22,8,201750,"No"
"M",40,1,12,425687,"No"
"M",26,20,23,109922,"No"
"F",33,12,13,394694,"No"
"M",14,19,25,643599,"No"
"M",17,8,16,1353140,"No"
"M",13,11,44,980009,"No"
"F",31,1,49,1774457,"No"
"F",17,23,31,1180273,"No"
"M",40,19,18,721710,"No"
"M",18,23,21,1954844,"No"
"M",14,7,45,699560,"No"
"M",19,5,20,829780,"No"
"F",33,18,19,350330,"No"
"M",11,18,28,209921,"No"
"M",27,10,20,607418,"No"
"F",24,13,47,689097,"No"
"F",16,14,42,850142,"No"
"F",23,14,27,1384325,"No"
"M",36,23,15,497104,"No"
"M",24,9,17,1650376,"No"
"F",24,6,49,715999,"No"
"M",38,3,42,1722150,"No"
"M",16,6,26,1010655,"No"
"M",28,10,46,1367000,"No"
"M",31,24,37,620686,"No"
"M",38,13,31,381565,"No"
"M",26,20,33,1357141,"No"
"M",35,17,36,1274686,"No"
"M",26,15,17,702732,"No"
"F",30,16,9,104081,"No"
"M",38,11,29,1032028,"No"
"M",27,13,13,1715188,"No"
"M",27,24,9,924142,"No"
"F",13,23,10,498788,"Yes"
"M",10,17,14,155037,"Yes"
"F",37,19,9,493019,"Yes"
"M",12,22,10,59467,"Yes"
"F",28,23,9,107192,"Yes"
"M",32,24,8,47143,"Yes"
"M",29,36,8,146546,"Yes"
"M",21,18,19,213539,"Yes"
"M",16,25,10,442635,"Yes"
"M",28,15,15,18560,"Yes"
"F",14,23,14,393336,"Yes"
"M",11,32,3,499987,"Yes"
"M",35,26,18,465099,"Yes"
"M",34,23,9,132528,"Yes"
"M",35,27,16,490545,"Yes"
"M",27,28,17,267423,"Yes"
"F",37,28,5,72162,"Yes"
"M",34,32,11,244120,"Yes"
"F",34,35,20,134156,"Yes"
"M",39,18,7,88891,"Yes"
"M",24,14,17,43736,"Yes"
"M",21,21,2,158128,"Yes"
"F",37,18,11,293968,"Yes"
"M",13,21,12,130908,"Yes"
"M",10,20,6,472813,"Yes"
"M",26,21,12,139046,"Yes"
"M",21,14,13,92679,"Yes"
"M",14,18,19,476749,"Yes"
"F",15,27,9,234790,"Yes"
"M",16,25,20,59429,"Yes"
"M",36,26,13,435611,"Yes"
"F",17,30,19,346373,"Yes"
"M",13,24,7,195499,"Yes"
"M",16,20,16,384876,"Yes"
